Name,tenure,Econ_Index,Journal_rank,Gender,Ethnicity,Surname_Initials,Rank,BA_to_PHD,Surname
Trevor Gallen,0,Disciplinary,0,male,1,2,43,7,Gallen
Valentina Galvani,1,Disciplinary,0,female,1,2,47,7,Galvani
Andrew Garin,0,Disciplinary,1,male,1,2,28,9,Garin
Francois Geerolf,0,Disciplinary,0,male,1,2,20,4,Geerolf
François Gerard,0,Disciplinary,1,male,1,2,6,7,Gerard
Athanasios Geromichalos,1,Disciplinary,0,male,1,2,45,7,Geromichalos
Michael Geruso,1,Disciplinary,1,male,4,2,30,9,Geruso
Fabio Ghironi,1,Disciplinary,1,male,1,2,36,6,Ghironi
John D. Gibson,0,Disciplinary,0,male,1,2,31,7,Gibson
Michela Giorcelli,1,Disciplinary,1,female,1,2,20,8,Giorcelli
Raphael Godefroy,1,Disciplinary,1,male,1,2,37,6,Godefroy
Chuan Goh,0,Interdisciplinary,0,male,5,2,16,6,Goh
Jessica A. Goldberg,1,Disciplinary,1,female,4,2,24,10,Goldberg
Jim Goldman,0,Disciplinary,0,male,1,2,16,18,Goldman
Maria Goltsman,1,Disciplinary,0,female,1,2,44,6,Goltsman
Grey Gordon,0,Disciplinary,0,male,1,2,22,6,Gordon
Bryan S. Graham,1,Disciplinary,1,male,1,2,5,8,Graham
Jesse Gregory,1,Disciplinary,1,female,1,2,38,9,Gregory
Paul L. E. Grieco,1,Disciplinary,0,male,1,2,17,8,Grieco
Daniel Grodzicki,0,Disciplinary,0,male,1,2,17,8,Grodzicki
Michael D. Grubb,1,Disciplinary,1,male,1,2,32,7,Grubb
Jiaying Gu,1,Disciplinary,1,female,5,2,16,9,Gu
Patrik Guggenberger,1,Disciplinary,1,male,1,2,17,7,Guggenberger
Pinar Mine Gunes,1,Disciplinary,0,female,4,2,47,8,Gunes
Florian Gunsilius,0,Disciplinary,1,male,1,2,13,4,Gunsilius
Yingni Guo,1,Disciplinary,1,female,5,2,9,5,Guo
Adam M. Guren,1,Disciplinary,1,male,4,2,12,6,Guren
Fatih Guvenen,1,Disciplinary,1,male,4,2,21,6,Guvenen
Martin Benjamin Hackmann,1,Disciplinary,1,male,1,2,20,7,Hackmann
Nima Haghpanah,1,Disciplinary,1,male,4,2,17,7,Haghpanah
Peter Reinhard Hansen,1,Disciplinary,0,male,1,2,34,7,Hansen
Samuel G. Hanson,1,Disciplinary,0,male,5,2,1,5,Hanson
Rick Harbaugh,1,Disciplinary,1,male,1,2,49,11,Harbaugh
Rachel Heath,1,Disciplinary,1,female,1,2,36,6,Heath
Aaron Hedlund,1,Disciplinary,0,male,1,2,43,6,Hedlund
Sara B. Heller,1,Disciplinary,1,female,1,2,13,11,Heller
Lutz Hendricks,1,Disciplinary,1,male,1,2,34,8,Hendricks
Kyle Herkenhoff,1,Disciplinary,1,male,1,2,21,6,Herkenhoff
Sara Hernández-Saborit,1,Interdisciplinary,0,female,1,2,9,6,Hernández-Saborit
Garth Heutel,1,Disciplinary,0,male,1,2,31,7,Heutel
Keisuke Hirano,1,Interdisciplinary,1,male,5,2,17,6,Hirano
Viktoria Hnatkovska,1,Disciplinary,0,female,1,2,26,6,Hnatkovska
Florian Hoffmann,1,Disciplinary,0,male,1,2,26,6,Hoffmann
Seung-Hyun Hong,1,Disciplinary,0,male,5,2,28,6,Hong
Sean Horan,1,Disciplinary,0,male,1,2,37,13,Horan
Ali Hortaçsu,1,Disciplinary,1,male,1,2,3,5,Hortaçsu
Roozbeh Hosseini,1,Disciplinary,0,male,4,2,46,11,Hosseini
